",Education,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Customer_Tenure_Days,total_spendings,Total_Children,Living_With"
"0,Graduate,58138.0,58,3,8,10,4,7,0,1,69,663,1617,0,Alone"
"1,Graduate,46344.0,38,2,1,1,2,5,0,0,72,113,27,2,Alone"
"2,Graduate,71613.0,26,1,8,2,10,4,0,0,61,312,776,0,Partner"
"3,Graduate,26646.0,26,2,2,0,4,6,0,0,42,139,53,1,Partner"
"4,Postgraduate,58293.0,94,5,5,3,6,5,0,0,45,161,422,1,Partner"
"5,Postgraduate,62513.0,16,2,6,4,10,6,0,0,59,293,716,1,Partner"
"6,Graduate,55635.0,34,4,7,3,7,6,0,0,55,593,590,1,Alone"
"7,Postgraduate,33454.0,32,2,4,0,4,8,0,0,41,417,169,1,Partner"
"8,Postgraduate,30351.0,19,1,3,0,2,9,0,1,52,388,46,1,Partner"
"9,Postgraduate,5648.0,68,1,1,0,0,20,0,0,76,108,49,2,Partner"
"10,Graduate,52247.25135379061,11,1,1,0,2,7,0,0,43,226,19,1,Partner"
"11,Undergraduate,7500.0,59,1,2,0,3,8,0,0,50,593,61,0,Partner"
"12,Graduate,63033.0,82,1,3,4,8,2,0,0,67,226,1102,0,Alone"
"13,Postgraduate,59354.0,53,3,6,1,5,6,0,0,74,226,310,2,Alone"
"14,Graduate,17323.0,38,1,1,0,3,8,0,0,39,627,46,0,Partner"
"15,Postgraduate,82800.0,23,1,7,6,12,3,0,1,80,582,1315,0,Alone"
"16,Graduate,41850.0,51,3,3,0,3,8,0,0,46,552,96,2,Partner"
"17,Graduate,37760.0,20,2,4,1,6,7,0,0,80,667,317,0,Partner"
"18,Postgraduate,76995.0,91,2,11,4,9,5,0,0,77,458,1782,1,Partner"
"19,Undergraduate,33812.0,86,2,2,1,3,6,0,0,41,603,133,1,Alone"
"20,Graduate,37040.0,41,1,4,2,5,8,0,0,44,690,316,0,Partner"
"21,Graduate,2447.0,42,15,0,28,0,1,0,0,47,539,1730,1,Partner"
"22,Postgraduate,58607.0,63,3,2,3,9,8,0,0,77,553,972,1,Partner"
"23,Postgraduate,65324.0,0,3,6,2,9,4,0,0,72,169,544,1,Partner"
"24,Graduate,40689.0,69,7,7,1,5,8,0,0,75,468,444,1,Partner"
"25,Graduate,18589.0,89,2,2,1,3,7,0,0,57,543,75,0,Alone"
"26,Graduate,53359.0,4,4,5,1,4,7,0,0,50,398,257,2,Partner"
"27,Graduate,52247.25135379061,19,0,27,0,0,1,0,0,40,494,637,1,Alone"
"28,Graduate,38360.0,26,2,2,1,4,3,0,0,37,394,131,1,Partner"
"29,Postgraduate,84618.0,96,1,6,9,10,2,0,0,61,219,1672,0,Partner"
"30,Postgraduate,10979.0,34,2,3,0,3,5,0,0,37,38,30,0,Alone"
"31,Postgraduate,38620.0,56,1,2,5,3,3,0,0,63,414,318,0,Partner"
"32,Graduate,40548.0,31,2,2,1,4,5,0,0,56,627,120,1,Partner"
"33,Postgraduate,46610.0,8,6,4,1,6,6,0,1,74,608,302,2,Alone"
"34,Postgraduate,68657.0,4,1,3,5,9,7,0,0,80,494,1196,0,Partner"
"35,Postgraduate,49389.0,55,1,2,0,3,7,0,0,75,304,65,2,Alone"
"36,Postgraduate,67353.0,37,5,5,6,12,2,0,0,56,180,913,1,Partner"
"37,Undergraduate,23718.0,76,3,3,1,2,7,0,0,50,300,81,1,Partner"
"38,Graduate,42429.0,99,2,1,1,3,5,0,0,53,138,67,1,Alone"
"39,Postgraduate,48948.0,53,2,7,10,5,6,0,1,83,513,902,0,Alone"
"40,Graduate,80011.0,3,2,8,6,5,4,0,0,46,426,1395,1,Partner"
"41,Postgraduate,20559.0,88,2,2,0,3,8,0,0,41,474,53,1,Partner"
"42,Graduate,21994.0,4,1,0,0,3,5,0,0,69,552,22,1,Partner"
"43,Postgraduate,52247.25135379061,80,1,1,3,4,2,0,0,67,236,186,0,Alone"
"44,Postgraduate,7500.0,19,3,2,0,3,5,0,0,51,270,31,1,Partner"
"45,Graduate,79941.0,72,1,2,4,9,1,0,0,50,1,984,0,Alone"
"46,Undergraduate,7500.0,24,3,3,1,3,9,0,1,30,597,122,0,Partner"
"47,Graduate,41728.0,92,1,2,0,2,10,0,0,58,401,55,1,Partner"
"48,Graduate,52247.25135379061,96,3,2,1,4,6,0,0,75,179,124,3,Alone"
"49,Postgraduate,72550.0,39,9,5,2,12,8,0,0,72,598,1319,2,Partner"
"50,Graduate,65486.0,29,1,4,2,10,2,0,0,69,48,507,1,Alone"
"51,Postgraduate,79143.0,2,1,6,9,13,3,0,0,62,687,1693,0,Partner"
"52,Graduate,35790.0,54,2,2,0,3,7,0,0,49,543,72,1,Alone"
"53,Graduate,82582.0,54,1,4,9,7,1,0,1,49,22,1617,0,Alone"
"54,Graduate,66373.0,57,7,4,2,10,3,0,0,48,382,606,2,Partner"
"55,Postgraduate,82384.0,55,1,3,10,13,1,0,1,71,587,1957,0,Partner"
"56,Graduate,70287.0,30,1,5,5,10,3,0,1,60,453,1093,0,Alone"
"57,Graduate,27938.0,31,1,1,0,4,3,0,0,38,62,29,1,Alone"
"58,Graduate,52247.25135379061,57,2,2,0,3,6,0,0,44,377,46,1,Alone"
"59,Postgraduate,55954.0,63,3,8,2,6,7,0,0,58,118,518,1,Partner"
"60,Postgraduate,75777.0,12,1,3,6,11,1,0,1,44,360,1438,0,Alone"
"61,Graduate,66653.0,18,4,4,2,12,3,0,0,51,660,612,2,Partner"
"62,Graduate,61823.0,26,4,8,2,10,7,0,0,74,496,884,1,Alone"
"63,Postgraduate,67680.0,8,1,7,3,8,5,0,0,75,383,606,1,Alone"
"64,Graduate,70666.0,29,1,7,4,4,4,0,0,78,205,1076,0,Partner"
"65,Graduate,25721.0,75,1,1,1,2,7,0,1,55,404,34,1,Partner"
"66,Graduate,32474.0,0,1,1,0,2,7,0,0,59,49,11,2,Partner"
"67,Undergraduate,88194.0,19,1,11,10,10,5,0,1,47,102,1274,1,Alone"
"68,Graduate,69096.0,4,1,5,2,10,4,0,0,68,275,653,1,Partner"
"69,Graduate,74854.0,90,7,2,5,5,5,0,0,56,447,1562,3,Partner"
"70,Postgraduate,66991.0,1,3,4,8,6,3,0,0,72,656,1253,0,Partner"
"71,Undergraduate,52247.25135379061,25,3,3,0,3,8,0,0,53,653,109,1,Partner"
"72,Graduate,65031.0,29,4,10,3,13,7,0,0,67,469,863,1,Partner"
"73,Postgraduate,60631.0,88,5,9,2,8,7,0,0,51,450,661,2,Partner"
"74,Graduate,28332.0,58,1,2,1,4,2,0,0,74,60,65,0,Partner"
"75,Graduate,40246.0,68,1,1,0,2,6,0,0,49,557,13,1,Alone"
"76,Postgraduate,75251.0,34,1,7,6,5,5,0,1,54,671,1890,0,Partner"
"77,Graduate,75825.0,40,0,5,8,9,4,0,1,50,625,2209,0,Alone"
"78,Undergraduate,26326.0,12,1,0,0,3,3,1,0,50,298,18,0,Partner"
"79,Graduate,56046.0,9,2,10,1,8,8,0,1,61,543,692,0,Partner"
"80,Graduate,29760.0,87,4,3,1,4,8,0,0,41,669,165,1,Alone"
"81,Graduate,26304.0,5,1,1,0,2,7,0,0,57,371,16,1,Partner"
"82,Undergraduate,23559.0,87,3,3,0,3,7,0,0,53,361,79,1,Partner"
"83,Postgraduate,38620.0,56,1,2,5,3,3,0,0,63,414,318,0,Partner"
"84,Graduate,81361.0,18,1,3,10,13,1,0,0,39,124,778,0,Alone"
"85,Graduate,29440.0,95,2,1,0,4,7,0,0,66,322,56,2,Partner"
